"id","group","t1","t2","t3"
"S001","Control",46,52.73,52.36
"S002","Control",54.21,56.54,57.71
"S003","Control",53.72,56.07,62.24
"S004","Control",41.31,,49.43
"S005","Control",45.98,44.36,46.47
"S006","Control",43.32,44.28,45.05
"S007","Control",52.48,51.34,55.43
"S008","Control",50.74,56.06,57.69
"S009",,58.65,58.02,52.56
"S010","Control",52.33,48.2,52.39
"S011","Control",48.83,41.58,46.31
"S012","Control",53.03,56.18,56.15
"S013","Control",54.88,55.43,59.12
"S014","Control",51.23,55.42,59.19
"S015","Program",42.67,48.75,58.24
"S016","Program",61.78,60.68,63.73
"S017","Program",45.38,47.93,53.72
"S018","Program",63.02,65.05,70.76
"S019","Program",48.43,53.05,58.08
"S020","Program",42.01,44.22,
"S021","Program",51.23,53.44,54.75
"S022","Program",53.68,52.97,
"S023","Program",51.22,57.08,56.45
"S024","Program",56.02,53.86,56.56
"S025","Program",46.18,51.63,57.16
"S026","Program",47.17,55.27,61.19
"S027","Program",50.49,51.48,58.92
"S028","Program",39.58,40.81,42.7
